model,accuracy,precision,recall,f1
ANN,0.8995244669427827,0.8578605200945626,0.9434514137146571,0.8986225042563071
LSTM,0.9006158056790968,0.857593123209169,0.972700682482938,0.9115273336378864
Bi-LSTM,0.9088265480670544,0.8741176470588236,0.9658758531036724,0.9177088158097885
GRU,0.9095107765993842,0.8733880422039859,0.9684757881052973,0.9184774233317923
CNN-LSTM,0.9060896339377352,0.8678696158323632,0.9691257718557036,0.9157070474435743
